Word,IsNeologism,DensityAtRadius0.550,GrowthMonotonicityAtRadius0.550,GrowthSlopeAtRadius0.550,DensityAtRadius0.525,GrowthMonotonicityAtRadius0.525,GrowthSlopeAtRadius0.525,DensityAtRadius0.500,GrowthMonotonicityAtRadius0.500,GrowthSlopeAtRadius0.500,DensityAtRadius0.475,GrowthMonotonicityAtRadius0.475,GrowthSlopeAtRadius0.475,DensityAtRadius0.450,GrowthMonotonicityAtRadius0.450,GrowthSlopeAtRadius0.450,DensityAtRadius0.425,GrowthMonotonicityAtRadius0.425,GrowthSlopeAtRadius0.425,DensityAtRadius0.400,GrowthMonotonicityAtRadius0.400,GrowthSlopeAtRadius0.400,DensityAtRadius0.375,GrowthMonotonicityAtRadius0.375,GrowthSlopeAtRadius0.375,DensityAtRadius0.350,GrowthMonotonicityAtRadius0.350,GrowthSlopeAtRadius0.350
video,1,2.1972245773362196,0.9050567595459237,2.8137446542340808e-06,2.70805020110221,0.9195046439628484,1.8144950998045871e-06,3.258096538021482,0.9690402476780186,1.3918469573603612e-06,3.5553480614894135,0.9731682146542827,1.0725275340052237e-06,4.174387269895637,0.9917440660474718,7.165096564922408e-07,4.700480365792417,0.9876160990712075,4.6267156561607873e-07,5.25227342804663,0.9463364293085655,3.5789701287000385e-07,5.683579767338681,0.9566563467492261,3.05604309970072e-07,6.131226489483141,0.9855521155830752,2.5314353525475417e-07
radio,0,3.784189633918261,0.9855521155830752,4.139851397447357e-07,4.110873864173311,0.977296181630547,4.6269846534556363e-07,4.634728988229636,0.9855521155830752,3.2681000642091065e-07,5.030437921392435,0.9917440660474718,2.90853687938895e-07,5.298317366548036,0.9958720330237358,2.827934177540819e-07,5.697093486505405,0.9917440660474718,2.6712139112458557e-07,5.998936561946683,0.9958720330237358,2.494378179992262e-07,6.38856140554563,0.9979360165118679,2.3335314906748208e-07,6.807934943699926,0.9958720330237358,2.1408050177587608e-07
software,1,1.791759469228055,0.9648417740831212,9.81644968210027e-07,2.0794415416798357,0.9648417740831212,7.275468003311465e-07,2.8903717578961645,0.977296181630547,6.717888558583199e-07,3.6635616461296463,0.977296181630547,3.793284065317368e-07,4.07753744390572,0.9855521155830752,3.306365921133495e-07,4.77912349311153,0.977296181630547,2.646026946907333e-07,5.424950017481403,0.9752321981424149,2.3311238234665857e-07,5.950642552587727,0.9896800825593396,2.6824850079790556e-07,6.499787040655854,0.9896800825593396,2.0618110038689048e-07
machine,0,2.5649493574615367,0.9195046439628484,6.591946638750868e-07,3.044522437723423,0.9298245614035088,4.630133784891822e-07,3.4965075614664802,0.9360165118679051,4.4916629597610414e-07,4.219507705176107,0.9484004127966976,2.770221504906411e-07,4.787491742782046,0.9422084623323013,2.277555655649487e-07,5.375278407684165,0.9711042311661506,1.7189084333589396e-07,5.986452005284438,0.9793601651186791,1.5982412969813155e-07,6.432940092739179,0.9690402476780186,1.5604475298983843e-07,6.913737350659685,0.9711042311661506,1.3941310746394824e-07
e-mail,1,0.0,NaN,NaN,0.6931471805599453,0.795301937185486,1.4851834061959934e-08,1.3862943611198906,0.9896800825593396,3.3246376568666875e-07,2.3978952727983707,0.9484004127966976,8.507890897571741e-07,2.70805020110221,0.9215686274509803,1.1825260191922235e-06,3.332204510175204,0.9484004127966976,6.161366932417661e-07,3.9318256327243257,0.954592363261094,4.622957182567223e-07,4.553876891600541,0.954592363261094,2.905916269475323e-07,5.278114659230517,0.9504643962848297,1.4959449926418388e-07
message,0,2.302585092994046,NaN,NaN,2.6390573296152584,-0.8039215686274509,-7.074762091824273e-07,2.833213344056216,-0.7936016511867906,-6.762260858367282e-07,3.332204510175204,-0.054695562435500514,-9.40469143543034e-08,3.784189633918261,-0.04437564499484004,-3.5252878699769644e-08,4.174387269895637,-0.013415892672858616,-2.3025089191112912e-08,4.624972813284271,-0.1867905056759546,-4.908823718661941e-08,5.135798437050262,0.24458204334365324,3.3457288488871966e-08,5.703782474656201,0.3333333333333333,4.543464325691503e-08
infrastructure,1,0.6931471805599453,0.8059855521155831,1.748633987948494e-06,1.791759469228055,0.9463364293085655,1.90986484214439e-06,2.995732273553991,0.8864809081527348,7.358073679631094e-07,3.784189633918261,0.9215686274509803,6.676166463512087e-07,4.584967478670572,0.9628482972136224,5.833514539921654e-07,5.170483995038151,0.9896800825593396,6.103759287617998e-07,5.834810737062605,0.9958720330237358,4.840630091915007e-07,6.405228458030842,0.9566563467492261,3.844778666940396e-07,6.930494765951626,0.9628482972136224,3.089282061164742e-07
improvements,0,2.5649493574615367,-0.1331269349845201,-6.462364060889447e-08,3.091042453358316,0.48194014447884415,1.7492768859504533e-07,3.4657359027997265,0.5521155830753354,2.002656798299846e-07,3.970291913552122,0.6181630546955624,1.7054392269071355e-07,4.718498871295094,0.8802889576883385,3.266041713545393e-07,5.267858159063328,0.9133126934984519,2.8086803991746345e-07,5.863631175598097,0.8224974200206397,2.3831722478954984e-07,6.415096959171596,0.7708978328173374,2.030937894325297e-07,7.011213987350367,0.8080495356037152,1.96138741511889e-07
lifestyle,1,0.6931471805599453,0.6496804009072564,9.239556662260933e-08,0.6931471805599453,0.6496804009072564,9.239556662260933e-08,0.6931471805599453,0.6496804009072564,9.239556662260933e-08,1.3862943611198906,0.9504643962848297,1.083455456960512e-06,1.791759469228055,-0.03611971104231166,-1.9782448893772303e-08,2.0794415416798357,-0.12693498452012383,-3.1858735355107405e-08,2.772588722239781,-0.025799793601651185,5.340161196544175e-08,3.4965075614664802,-0.10629514963880288,7.456944709487167e-09,4.442651256490317,-0.2672858617131063,-3.8031192402941295e-08
environment,0,2.302585092994046,0.6800825593395253,2.0930787749963526e-07,2.772588722239781,0.6656346749226005,5.065818522178245e-07,3.332204510175204,0.7069143446852425,3.678253648851139e-07,4.04305126783455,0.8328173374613003,2.3511444730980392e-07,4.836281906951478,0.981424148606811,2.535073236784996e-07,5.638354669333745,0.9896800825593396,1.5754657027840163e-07,6.315358001522335,0.9896800825593396,1.535573877177976e-07,6.942156705699469,0.9917440660474718,1.444350287390553e-07,7.496652438168283,0.9669762641898865,1.3844181685388694e-07
