neologism,control
snapchat,youtube
mfs,imma
asf,soo
oomf,xd
ilysm,babe
exo,rtrt
insta,bbm
selfie,twitpic
mutuals,beliebers
ps4,droid
crypto,markets
namjoon,handsome
frfr,lmbo
bangtan,biebs
oomfs,buddies
blockchain,technologies
skz,jls
directioner,supporter
ps5,tron
airpods,headset
selca,shinee
imessage,itouch
normalize,justify
wayv,tokio
lockdowns,pandemic
yixing,oppa
smol,chubby
wattpad,manga
fwu,shid
unvaccinated,overweight
opioid,prostate
tiktoks,twitpics
ao3,lj
chenle,snsd
gaslighting,insulting
vixx,kpop
anti-trump,anti-gay
soobin,bonamana
vaping,underage
undertale,assassin's
simping,dissing
juul,cig
a'f,cuhz
keto,celery
shopee,baru
pledis,2ne1
dsmp,tvd
vmin,tvxq
clickbait,spammer
alt-right,pro-life
gogglebox,wipeout
revine,fallow
exols,stans
wwx,minho
aespa,dewyze
no-deal,reforms
izone,jyj
finessed,bagged
sunghoon,u-kiss
doggo,neice
pro-trump,gingrich
shownu,jaebum
charot,sampe
trumpers,mcconnell
litty,hottt
nctzens,filipinos
turnup,worddd
exo-l,nelena
remainers,electoral
ults,ss501
shìt,doee
tøp,ema's
stahp,stopp
selcas,taemin
fintech,sourcing
sunwoo,donghae
brexiteers,economists
hendery,heechul
dysphoria,deprivation
headcanon,fangirl
ableist,blatantly
pre-save,soundcloud
voxer,ichat
moas,suju
ransomware,salmonella
juseyo,bisa
bhakts,pundits
mahomies,usmile
asymptomatic,medications
speedrun,metroid
fanwars,arguement
magcon,zanessa
kdramas,musicals
exo-ls,sungmin
wym,niga
stimmy,mula
nuest,bmth
shitpost,deviantart
arianators,followme
subunit,mblaq
deplorables,constituents
dabbing,loling
asab,lmaaoo
grift,marxist
wonpil,eunhyuk
seokmin,shinee's
incel,unfunny
cheol,hae
ableism,inherent
depop,primark
finessing,choosin
terfs,mormons
sksksk,ahahha
goated,funnny
clownery,coonery
vlives,dbsk
preworkout,hydration
brexiters,baggers
bruhhhhh,niceeeee
oomfies,folowers
fromis,b2st
hodl,spx
dassit,ayeeeeee
sirf,udh
baecation,staycation
ahgase,yesung
dowoon,yong
woollim,boyband
t'f,fonee
gmfu,trippn
fanchant,jaejoong
7dream,kibum
sksksks,loooooool
knetz,hyun
unstan,refollow
anitwt,plurk
doggos,anipals
remainer,lockerbie
magats,traitors
shookt,floored
acads,blahhhh
normie,douchey
exid,yunho
demonetisation,post-election
werey,enuh
neymar's,carles
heckin,hecka
transphobes,feminists
shooketh,mesmerized
fe3h,rdr
monbebes,kangin
ombré,dreds
curiouscat,pmessenger
ahre,mano
promare,ponyo
incels,wannabes
nightcore,wonderwall
imessages,gmail's
caliphate,nasrallah
intersectional,journalistic
golcha,k-pop
wokeness,fascists
blueface,whiteboy
scoups,bigbang
hypmic,arashi
aswear,deir
weebs,furries
shadowbanned,twitterfox
rapline,hwaiting
as'f,cheaa
comey's,burris
sunbaenim,inkigayo
i-land,hangeng
kpoppies,glamberts
bottlemen,orpheum
yogas,speedos
