Word,IsNeologism,DensityAtRadius0.550,GrowthMonotonicityAtRadius0.550,GrowthSlopeAtRadius0.550,DensityAtRadius0.525,GrowthMonotonicityAtRadius0.525,GrowthSlopeAtRadius0.525,DensityAtRadius0.500,GrowthMonotonicityAtRadius0.500,GrowthSlopeAtRadius0.500,DensityAtRadius0.475,GrowthMonotonicityAtRadius0.475,GrowthSlopeAtRadius0.475,DensityAtRadius0.450,GrowthMonotonicityAtRadius0.450,GrowthSlopeAtRadius0.450,DensityAtRadius0.425,GrowthMonotonicityAtRadius0.425,GrowthSlopeAtRadius0.425,DensityAtRadius0.400,GrowthMonotonicityAtRadius0.400,GrowthSlopeAtRadius0.400,DensityAtRadius0.375,GrowthMonotonicityAtRadius0.375,GrowthSlopeAtRadius0.375,DensityAtRadius0.350,GrowthMonotonicityAtRadius0.350,GrowthSlopeAtRadius0.350
snapchat,1,1.9459101490553132,0.7999999999999999,2.386986474117414e-07,2.0794415416798357,0.7999999999999999,2.5901230649524284e-07,2.6390573296152584,-0.39999999999999997,-3.223057770709402e-05,2.8903717578961645,-0.39999999999999997,-2.464133859370268e-05,3.2188758248682006,-0.39999999999999997,-1.4349734883458602e-05,3.4965075614664802,-0.39999999999999997,-1.1490063165050058e-05,4.007333185232471,-0.39999999999999997,-5.075827587151843e-06,4.465908118654584,-0.39999999999999997,-4.045160969367245e-06,4.8283137373023015,-0.39999999999999997,-2.161451761604205e-06
youtube,0,0.6931471805599453,0.7378647873726218,3.238720597791923e-07,0.6931471805599453,0.7378647873726218,3.238720597791923e-07,1.3862943611198906,-0.39999999999999997,-3.3601492025600893e-06,1.6094379124341003,-0.39999999999999997,-3.104625584730912e-06,2.0794415416798357,-0.39999999999999997,-5.7118189980828735e-05,2.4849066497880004,-0.39999999999999997,-3.978192419516555e-05,2.8903717578961645,-0.39999999999999997,-3.040215628881529e-05,3.5553480614894135,-0.39999999999999997,-1.4480376310390113e-05,3.970291913552122,-0.39999999999999997,-1.0218276429348237e-05
mfs,1,3.091042453358316,0.39999999999999997,9.335485423521354e-08,3.6109179126442243,0.7999999999999999,8.577125263914532e-08,4.007333185232471,0.7999999999999999,1.0140856039199826e-07,4.276666119016055,1.0,2.4688139927460045e-07,4.68213122712422,1.0,2.1117977410929437e-07,4.969813299576001,1.0,2.860396520893397e-07,5.231108616854587,0.7999999999999999,1.2057454910257622e-06,5.564520407322694,0.7999999999999999,9.442842824028424e-07,5.961005339623274,0.7999999999999999,9.490563342765223e-07
imma,0,3.784189633918261,0.7999999999999999,2.143054775932293e-06,4.07753744390572,0.7999999999999999,2.01164021151936e-06,4.418840607796598,0.7999999999999999,2.5572040307335596e-06,4.718498871295094,0.7999999999999999,5.774867754155416e-06,5.0689042022202315,0.7999999999999999,4.924521672935352e-06,5.3981627015177525,0.7999999999999999,3.953825674762526e-06,5.739792912179234,0.7999999999999999,4.246426449278419e-06,6.061456918928017,0.7999999999999999,3.9179177418406235e-06,6.364750756851911,0.7999999999999999,3.6290487133535163e-06
asf,1,2.1972245773362196,0.7999999999999999,4.920021359081771e-07,2.3978952727983707,0.7999999999999999,4.011614636341586e-07,2.772588722239781,0.7999999999999999,3.673145070447085e-07,2.995732273553991,0.7999999999999999,2.8571455760200553e-07,3.258096538021482,0.7999999999999999,2.661207919104797e-07,3.5263605246161616,0.7999999999999999,3.0230879023085975e-07,4.1588830833596715,0.7999999999999999,5.142058507153599e-07,4.852030263919617,0.39999999999999997,4.352267621145891e-07,5.501258210544727,1.0,4.762513674926028e-07
soo,0,3.9512437185814275,0.39999999999999997,1.0132812661059439e-05,4.143134726391533,0.39999999999999997,8.553054220040256e-06,4.465908118654584,0.39999999999999997,6.2182328913507386e-06,4.882801922586371,0.39999999999999997,4.229049376148941e-06,5.214935757608986,0.39999999999999997,3.1346869404639075e-06,5.552959584921617,0.39999999999999997,2.2816183639685992e-06,5.849324779946859,0.39999999999999997,1.7695214557459743e-06,6.075346031088684,0.39999999999999997,1.4839127773502066e-06,6.263398262591624,0.7999999999999999,1.4334431675671956e-06
oomf,1,2.4849066497880004,0.7999999999999999,8.415274906896675e-07,2.995732273553991,0.7999999999999999,7.840756303268208e-07,3.8066624897703196,0.7999999999999999,8.057771501228043e-07,4.574710978503383,0.7999999999999999,1.648376395101099e-06,5.056245805348308,0.7999999999999999,1.2513882745757584e-06,5.602118820879701,0.7999999999999999,8.773142807184114e-07,6.1092475827643655,0.7999999999999999,6.190885913971924e-07,6.490723534502507,0.7999999999999999,7.24405899009559e-07,6.877296071497429,1.0,1.124462201393245e-06
xd,0,3.295836866004329,1.0,4.209601847010638e-05,3.4011973816621555,1.0,3.8095194813687745e-05,3.713572066704308,1.0,2.7666104132473758e-05,4.0943445622221,1.0,2.1473452053980995e-05,4.442651256490317,1.0,1.5226786443781298e-05,4.762173934797756,1.0,1.1091759351651624e-05,5.003946305945459,1.0,9.76364710405521e-06,5.3706380281276624,1.0,8.415858837323278e-06,5.68697535633982,1.0,6.330470858771804e-06
ilysm,1,2.4849066497880004,0.7999999999999999,1.0272352648002493e-06,3.091042453358316,1.0,8.467778609539032e-07,3.713572066704308,1.0,7.481635675046951e-07,4.330733340286331,1.0,5.886751131861107e-07,5.0106352940962555,1.0,5.193378883012269e-07,5.53338948872752,1.0,6.313345370129476e-07,6.07993319509559,1.0,6.016854308220614e-07,6.54534966033442,1.0,2.0530333406011383e-06,7.030857476116121,1.0,1.3592630901044544e-06
babe,0,1.6094379124341003,1.0,1.025512611617539e-05,2.1972245773362196,0.7999999999999999,9.82785503131987e-06,2.4849066497880004,0.7999999999999999,7.322856062412835e-06,2.9444389791664403,0.7999999999999999,8.804292838798169e-06,3.1354942159291497,0.7999999999999999,7.267410429731444e-06,3.4965075614664802,0.7999999999999999,6.082342364601989e-06,4.02535169073515,0.7999999999999999,3.825490300159774e-06,4.605170185988092,0.7999999999999999,2.6943697823584227e-06,4.948759890378168,0.7999999999999999,3.455590659722957e-06
exo,1,3.5263605246161616,0.7999999999999999,5.0575405487583936e-08,3.9318256327243257,0.39999999999999997,2.317010325890033e-08,4.394449154672439,1.0,8.183829182951696e-08,4.836281906951478,-0.7999999999999999,-6.338424810181695e-08,5.0689042022202315,-0.7999999999999999,-4.841205665982616e-08,5.303304908059076,0.19999999999999998,3.303920070591295e-08,5.568344503761097,0.7999999999999999,6.746232019960004e-08,5.75890177387728,0.7999999999999999,5.886985210384032e-08,5.968707559985366,1.0,1.4281140900928456e-07
rtrt,0,3.9512437185814275,-0.6000000000000001,-1.2296794464822809e-05,4.127134385045092,-0.6000000000000001,-1.0278852183897283e-05,4.442651256490317,-0.6000000000000001,-7.454672746151983e-06,4.770684624465665,-0.6000000000000001,-5.32074743519666e-06,5.003946305945459,-0.6000000000000001,-4.173846129283582e-06,5.3706380281276624,-0.6000000000000001,-2.9237188850029437e-06,5.627621113690637,-0.6000000000000001,-2.35250690668639e-06,5.950642552587727,-0.7999999999999999,-3.2054691746755785e-06,6.289715570908998,-0.7999999999999999,-2.2160501996926486e-06
insta,1,0.6931471805599453,0.7745966692414834,2.5700083490558716e-07,0.6931471805599453,0.7745966692414834,2.5700083490558716e-07,0.6931471805599453,0.7745966692414834,2.5700083490558716e-07,1.3862943611198906,1.0,1.1849226566665377e-05,1.791759469228055,1.0,6.9984376198258825e-06,2.3978952727983707,1.0,3.1949644622502825e-06,2.772588722239781,1.0,2.8069681400816214e-06,3.784189633918261,0.7999999999999999,1.8438195456993128e-06,4.330733340286331,0.7999999999999999,1.0958102438401584e-06
bbm,0,3.4011973816621555,1.0,2.1205388485987805e-06,3.7376696182833684,1.0,1.5681971987326243e-06,4.219507705176107,1.0,1.3323499064772827e-06,4.430816798843313,1.0,1.1933871749984659e-06,4.709530201312334,1.0,9.229486691470019e-07,5.10594547390058,1.0,9.391441888906724e-07,5.4638318050256105,1.0,7.238990622174263e-07,5.75890177387728,0.7999999999999999,4.0932296215028775e-07,6.089044875446846,0.7999999999999999,3.442691641702651e-07
selfie,1,1.0986122886681098,0.6000000000000001,1.4488093823569484e-05,1.6094379124341003,0.0,2.5791433797479584e-06,1.9459101490553132,0.0,1.4158103117111918e-06,2.1972245773362196,0.0,1.3628096853381033e-06,2.3978952727983707,0.0,7.641606849297223e-07,2.772588722239781,0.0,5.131568317806371e-07,3.1780538303479458,0.0,-1.0039062698824902e-07,3.4657359027997265,-0.39999999999999997,-2.722620058156657e-07,3.6888794541139363,-0.39999999999999997,-1.7244738665215256e-06
twitpic,0,4.0943445622221,-0.7999999999999999,-6.600659425636983e-07,4.248495242049359,-0.39999999999999997,-4.6502996811578455e-07,4.454347296253507,-0.39999999999999997,-3.4564233553192554e-07,4.584967478670572,-0.39999999999999997,-2.8090710556856433e-07,4.787491742782046,-0.19999999999999998,-1.757614674935374e-07,5.0369526024136295,-0.19999999999999998,-1.6295758997707944e-07,5.220355825078324,-0.39999999999999997,-1.8730649340833212e-07,5.4116460518550396,-0.39999999999999997,-2.3729625149454435e-06,5.736572297479192,-0.39999999999999997,-1.0727688533917232e-06
mutuals,1,4.882801922586371,1.0,3.538295404681155e-07,5.1298987149230735,0.39999999999999997,5.151390691225746e-07,5.41610040220442,0.39999999999999997,4.146235877740696e-07,5.564520407322694,0.39999999999999997,4.1470889248238335e-07,5.7745515455444085,0.39999999999999997,3.908415391822846e-07,5.958424693029782,0.39999999999999997,3.3775364460853536e-07,6.09807428216624,0.7999999999999999,3.7662264749091077e-07,6.253828811575473,0.7999999999999999,3.1669076495574743e-07,6.410174881966167,0.7999999999999999,3.576869054766555e-07
beliebers,0,3.4657359027997265,0.9486832980505139,1.19195193199601e-06,3.6635616461296463,0.9486832980505139,9.98653037183236e-07,3.8918202981106265,0.9486832980505139,3.3248495769906916e-06,4.060443010546419,1.0,2.856022847881081e-06,4.204692619390966,0.7999999999999999,2.430952083215007e-06,4.454347296253507,0.7999999999999999,1.9870051179281093e-06,4.6913478822291435,0.7999999999999999,1.5360753193715855e-06,5.056245805348308,0.7999999999999999,1.0984520598250635e-06,5.303304908059076,0.7999999999999999,9.08321977057901e-07
ps4,1,3.1780538303479458,-0.7999999999999999,-7.382671985261493e-07,3.295836866004329,-0.7999999999999999,-1.6049039619974573e-06,3.58351893845611,-0.7999999999999999,-1.3125218263215755e-05,3.8501476017100584,-1.0,-9.871782674608483e-06,4.07753744390572,-1.0,-7.808572733903796e-06,4.330733340286331,-0.7999999999999999,-6.07612477394107e-06,4.663439094112067,-0.39999999999999997,-3.13437091124752e-06,5.003946305945459,-0.39999999999999997,-2.783601531571686e-06,5.356586274672012,-0.39999999999999997,-1.91371710982037e-06
droid,0,2.1972245773362196,0.7999999999999999,1.1835200072166893e-06,2.5649493574615367,0.7999999999999999,1.1564798955655454e-05,2.8903717578961645,1.0,1.6990178529883753e-05,3.332204510175204,0.7999999999999999,9.627312037844115e-06,3.713572066704308,0.7999999999999999,5.987058728003103e-06,4.0943445622221,0.7999999999999999,3.8898445368360675e-06,4.465908118654584,0.6000000000000001,1.8286049236631022e-06,4.969813299576001,0.0,5.176339286979203e-07,5.356586274672012,-0.39999999999999997,-2.5585196186164646e-06
crypto,1,0.0,NaN,NaN,0.6931471805599453,0.7378647873726218,6.998484506195112e-08,0.6931471805599453,0.7378647873726218,6.998484506195112e-08,0.6931471805599453,0.7378647873726218,6.998484506195112e-08,0.6931471805599453,0.7378647873726218,6.998484506195112e-08,1.0986122886681098,-0.7999999999999999,-3.5642411293875206e-07,1.0986122886681098,-0.7999999999999999,-3.5642411293875206e-07,1.6094379124341003,-1.0,-2.485079359104547e-06,2.3978952727983707,-1.0,-1.3423054397003514e-06
markets,0,0.6931471805599453,NaN,NaN,1.3862943611198906,-0.6000000000000001,-1.1524480821603793e-05,1.3862943611198906,-0.6000000000000001,-1.1524480821603793e-05,1.6094379124341003,-0.6000000000000001,-8.333117200296695e-06,1.9459101490553132,-0.6000000000000001,-5.803953041876612e-06,2.1972245773362196,-0.7999999999999999,-8.247759245535644e-06,2.6390573296152584,-0.7999999999999999,-6.542037937838527e-06,2.8903717578961645,-0.7999999999999999,-5.165406439392505e-06,3.1354942159291497,-0.7999999999999999,-3.959990296446865e-06
namjoon,1,3.9889840465642745,0.7999999999999999,1.320543573985548e-07,4.174387269895637,0.7999999999999999,1.974532039075576e-07,4.394449154672439,0.7999999999999999,1.93764131848628e-07,4.5217885770490405,0.7999999999999999,1.920153489078614e-07,4.7535901911063645,0.7999999999999999,1.8164301923562474e-07,4.941642422609304,1.0,1.605823464164743e-07,5.181783550292085,1.0,1.4875532425051933e-07,5.44673737166631,0.7999999999999999,1.432113209305798e-07,5.707110264748875,0.7999999999999999,1.142455850778158e-07
handsome,0,0.6931471805599453,1.0,4.35038834747446e-06,0.6931471805599453,1.0,4.35038834747446e-06,0.6931471805599453,1.0,4.35038834747446e-06,1.6094379124341003,0.7999999999999999,1.7326714734769856e-05,1.791759469228055,0.7999999999999999,1.5709791067078296e-05,1.9459101490553132,0.7999999999999999,1.702388296696164e-05,2.4849066497880004,0.7999999999999999,1.3549040516096e-05,2.995732273553991,0.7999999999999999,8.211381111934324e-06,3.332204510175204,0.7999999999999999,4.181980780858311e-06
