Word,IsNeologism,DensityAtRadius0.550,GrowthMonotonicityAtRadius0.550,GrowthSlopeAtRadius0.550,DensityAtRadius0.525,GrowthMonotonicityAtRadius0.525,GrowthSlopeAtRadius0.525,DensityAtRadius0.500,GrowthMonotonicityAtRadius0.500,GrowthSlopeAtRadius0.500,DensityAtRadius0.475,GrowthMonotonicityAtRadius0.475,GrowthSlopeAtRadius0.475,DensityAtRadius0.450,GrowthMonotonicityAtRadius0.450,GrowthSlopeAtRadius0.450,DensityAtRadius0.425,GrowthMonotonicityAtRadius0.425,GrowthSlopeAtRadius0.425,DensityAtRadius0.400,GrowthMonotonicityAtRadius0.400,GrowthSlopeAtRadius0.400,DensityAtRadius0.375,GrowthMonotonicityAtRadius0.375,GrowthSlopeAtRadius0.375,DensityAtRadius0.350,GrowthMonotonicityAtRadius0.350,GrowthSlopeAtRadius0.350
snapchat,1,1.0986122886681098,0.39999999999999997,2.6155508545361342e-05,2.0794415416798357,0.7999999999999999,9.852412100575442e-06,2.772588722239781,0.7999999999999999,4.821621528679261e-06,3.4657359027997265,-0.39999999999999997,-1.1305355992354787e-05,3.828641396489095,-0.39999999999999997,-8.379362862076587e-06,4.23410650459726,-0.39999999999999997,-5.808731442001274e-06,4.941642422609304,-0.39999999999999997,-2.979577058681808e-06,5.424950017481403,-0.39999999999999997,-1.8911314940644102e-06,5.8805329864007,-0.7999999999999999,-2.204336834076229e-06
youtube,0,2.5649493574615367,-0.19999999999999998,2.257657451323422e-06,3.1780538303479458,-0.19999999999999998,8.882767385573807e-07,3.6375861597263857,-0.19999999999999998,1.1824148847826941e-07,4.007333185232471,-0.19999999999999998,-3.0103986893897567e-07,4.290459441148391,-0.19999999999999998,3.00060137915732e-08,4.68213122712422,-0.39999999999999997,-2.011352327457926e-06,5.043425116919247,-0.19999999999999998,-1.2173120095982257e-06,5.575949103146316,-0.7999999999999999,-1.3197060481599683e-06,6.09807428216624,-0.7999999999999999,-1.1466399603133267e-06
mfs,1,4.30406509320417,0.7999999999999999,9.719678059706991e-06,4.553876891600541,0.7999999999999999,7.619025884712799e-06,4.804021044733257,0.7999999999999999,6.9239877181255225e-06,5.1298987149230735,0.7999999999999999,8.730406067747979e-06,5.501258210544727,1.0,8.5993871550857e-06,5.921578419643816,1.0,6.5341181067385925e-06,6.483107351457199,1.0,5.859900743570468e-06,6.999422467507961,1.0,5.416183278681808e-06,7.515889085215125,1.0,4.249483191327873e-06
imma,0,4.356708826689592,0.7999999999999999,1.2383247901891428e-05,5.0369526024136295,0.7999999999999999,9.78675764821849e-06,5.720311776607412,0.7999999999999999,9.493171381681892e-06,6.486160788944089,0.7999999999999999,5.7881680275291865e-06,7.126087273299125,0.7999999999999999,4.049331136118793e-06,7.682943169878292,0.7999999999999999,2.8659358060307037e-06,8.104401307921613,0.7999999999999999,2.322505911258866e-06,8.461257559085935,0.7999999999999999,1.9619317836661156e-06,8.740816627567298,0.7999999999999999,1.9582546599889973e-06
asf,1,3.332204510175204,0.7999999999999999,4.750461375856287e-06,3.713572066704308,0.7999999999999999,3.313533664874679e-06,4.174387269895637,0.7999999999999999,7.5171886263959835e-06,4.68213122712422,0.7999999999999999,1.0698424634917965e-05,5.198497031265826,0.7999999999999999,1.6593764193641586e-05,5.932245187448011,0.7999999999999999,1.0317469179668191e-05,6.638567789166521,0.7999999999999999,5.8315720530282625e-06,7.212294468500341,0.7999999999999999,3.7009416770095396e-06,7.707062655370473,0.7999999999999999,2.839985971961189e-06
soo,0,6.095824562432225,1.0,3.790031561104595e-06,6.752270376141742,1.0,2.5017944401717292e-06,7.305188215393037,0.7999999999999999,1.940818091184406e-06,7.719573989259581,0.7999999999999999,1.5527153194921509e-06,8.06054004653864,0.7999999999999999,1.393970529861952e-06,8.336150816120663,0.7999999999999999,1.2786381178010454e-06,8.570733958344267,0.7999999999999999,1.1922447172009748e-06,8.775703886567738,0.7999999999999999,1.219316916597963e-06,8.95789673495042,0.7999999999999999,1.1978382488300864e-06
oomf,1,0.0,NaN,NaN,0.6931471805599453,0.7999999999999999,6.718234810276091e-06,1.791759469228055,0.7999999999999999,7.568454929370922e-06,2.4849066497880004,0.39999999999999997,6.50692271466323e-06,3.258096538021482,0.39999999999999997,3.133638266711432e-06,4.465908118654584,0.7999999999999999,2.9445474618971693e-06,5.501258210544727,1.0,3.2512394315152432e-06,6.363028103540465,1.0,2.7475956149017557e-06,7.111512116496157,1.0,2.063157149961427e-06
xd,0,4.836281906951478,NaN,NaN,5.389071729816501,1.0,8.597089999468587e-06,6.0330862217988015,1.0,4.697983484677716e-06,6.584791392385716,1.0,2.88124609011622e-06,7.114769448366463,0.7999999999999999,1.847378462922834e-06,7.606387389772652,0.7999999999999999,1.2905463923090297e-06,8.045908742270779,0.7999999999999999,1.0781119759047176e-06,8.403800504061147,0.7999999999999999,9.84867957014377e-07,8.713253274320705,0.7999999999999999,8.684773068183326e-07
ilysm,1,1.791759469228055,0.9486832980505139,1.64554342846376e-06,3.044522437723423,0.9486832980505139,4.846145907185525e-07,3.6375861597263857,0.9486832980505139,5.834746474229715e-07,4.51085950651685,1.0,3.685505527624126e-07,5.075173815233827,1.0,2.6896288263174334e-07,5.71042701737487,1.0,3.4854537192296873e-07,6.251903883165888,1.0,4.2057186339385814e-07,6.736966958001855,1.0,4.5687254528284157e-07,7.1929342212158,1.0,2.669829336184999e-06
babe,0,5.225746673713202,1.0,7.062701877321486e-06,5.762051382780177,1.0,4.746756252798662e-06,6.2766434893416445,1.0,3.2064517575427405e-06,6.747586526829315,1.0,2.3169741762405903e-06,7.204892510204673,1.0,1.84699169546395e-06,7.640603826393634,1.0,1.695710465008794e-06,8.058960017769417,1.0,1.3943373072418837e-06,8.416488487294606,0.7999999999999999,1.171580062700429e-06,8.74623928838306,0.7999999999999999,1.2361322015847654e-06
